"OPENMONTH","LOAN_TERM","LOAN_SIZE","AGEINMONTHS","TOTAL_ACCOUNTS","TOTAL_IN_ARREARS"
"202506","1",   0 - 1000,2,3136,485
"202408","3",   0 - 1000,7,10,1
"202502","7","10000 +",4,339,82
"202501","3",   0 - 1000,2,14,2
"202402","5","6001 - 7000",5,3,1
"202411","1","5001 - 6000",3,742,109
"202405","5","1001 - 2000",5,3,1
General,"3","6001 - 7000",4,4579,1662
"202404","1","4001 - 5000",2,1018,106
"202405","5","7001 - 8000",4,9,3
"202406","2","3001 - 4000",4,92,14
"202501","2","5001 - 6000",7,21,4
"202411","4","1001 - 2000",5,184,74
"202405","6","3001 - 4000",1,271,13
"202406","5","5001 - 6000",7,6,2
"202408","7","8001 - 9000",8,2,2
"202408","1",   0 - 1000,6,3303,300
General,"6","1001 - 2000",2,732,78
"202408","8","8001 - 9000",6,20,8
"202501","2","5001 - 6000",4,21,4
"202408","1","6001 - 7000",7,191,29
"202405","6","4001 - 5000",7,554,160
"202502","5","5001 - 6000",2,4,0
"202501","2","5001 - 6000",6,21,4
"202402","1","7001 - 8000",7,492,36
"202412","3","7001 - 8000",2,1298,422
"202412","4",   0 - 1000,4,3,1
"202408","5","1001 - 2000",2,1,0
"202502","3","5001 - 6000",4,565,176
"202401","3","4001 - 5000",5,645,217
"202408","6","6001 - 7000",4,383,146
General,"4","2001 - 3000",8,9703,3029
"202402","2","6001 - 7000",5,10,2
"202407","7","10000 +",3,210,67
"202404","2","2001 - 3000",8,175,32
"202412","5","7001 - 8000",8,11,3
"202410","3","6001 - 7000",6,368,138
"202504","6","5001 - 6000",3,487,117
"202412","5","3001 - 4000",7,2,0
"202405","4","7001 - 8000",2,3356,872
General,"3","6001 - 7000",3,4901,1772
General,"4","3001 - 4000",7,15495,5351
"202404","6",   0 - 1000,6,1,1
"202410","6","5001 - 6000",4,570,212
"202402","3","2001 - 3000",3,860,211
"202412","6","4001 - 5000",3,566,155
"202406","1","3001 - 4000",1,2309,241
"202403","5","3001 - 4000",4,3,1
"202409","8","9001 - 10000",7,287,89
General,"3","3001 - 4000",8,10149,2974
"202402","2",   0 - 1000,7,11,2
"202407","6","6001 - 7000",1,409,83
"202402","8","10000 +",8,803,264
"202407","1","3001 - 4000",2,2507,324
"202501","1","4001 - 5000",3,1338,151
"202403","6","4001 - 5000",8,537,182
"202408","5","7001 - 8000",5,10,3
"202409","6","10000 +",5,1,0
"202407","1","7001 - 8000",5,665,86
"202404","5","2001 - 3000",5,4,2
"202405","3","7001 - 8000",4,730,223
"202407","2","6001 - 7000",7,14,2
"202404","5","7001 - 8000",2,13,3
"202410","8","8001 - 9000",5,12,3
"202405","1","2001 - 3000",7,5205,636
"202407","1","7001 - 8000",1,665,86
"202412","2","1001 - 2000",5,183,40
"202410","5","4001 - 5000",5,4,2
"202401","5","7001 - 8000",2,10,2
"202410","5","4001 - 5000",6,4,2
"202502","4","1001 - 2000",2,162,20
"202403","3",   0 - 1000,3,6,2
"202401","6","2001 - 3000",6,120,28
"202406","5","5001 - 6000",1,6,0
"202403","2","4001 - 5000",5,70,9
"202407","5","1001 - 2000",6,1,0
"202403","8","9001 - 10000",8,517,177
"202402","1","7001 - 8000",8,492,36
"202408","5","2001 - 3000",2,3,0
"202412","6","9001 - 10000",8,1,0
"202406","4","1001 - 2000",7,288,89
"202408","4","7001 - 8000",7,3588,1387
"202402","6","2001 - 3000",1,128,8
"202504","4","2001 - 3000",2,708,111
"202404","3","3001 - 4000",7,792,231
"202406","5","7001 - 8000",4,12,4
"202411","7","9001 - 10000",4,167,49
"202412","6","3001 - 4000",8,279,96
"202411","4","4001 - 5000",8,1049,520
"202409","2","7001 - 8000",2,83,19
"202409","3","3001 - 4000",5,827,221
"202409","1","3001 - 4000",8,2394,265
"202504","4","7001 - 8000",4,3085,1215
"202401","2","3001 - 4000",8,105,19
"202403","3","4001 - 5000",6,879,242
"202403","1","5001 - 6000",8,453,44
"202411","7","9001 - 10000",3,167,41
"202408","5","1001 - 2000",6,1,0
"202504","3","3001 - 4000",1,1011,127
"202503","1","7001 - 8000",4,905,77
"202401","1","3001 - 4000",6,1952,249
"202404","1","1001 - 2000",3,7380,797
"202401","6","4001 - 5000",5,529,144
"202502","2",   0 - 1000,4,9,1
"202504","1",   0 - 1000,2,3069,261
"202408","6","5001 - 6000",5,685,253
"202411","4","6001 - 7000",8,625,327
"202401","2",   0 - 1000,3,15,4
"202502","3","2001 - 3000",5,1041,277
"202404","2",   0 - 1000,1,12,0
"202405","6","5001 - 6000",5,589,200
"202405","3","4001 - 5000",4,768,230
"202405","3","2001 - 3000",4,945,232
"202403","1","2001 - 3000",6,4709,559
"202409","5","7001 - 8000",7,21,4
"202412","5","7001 - 8000",5,11,3
"202406","6","4001 - 5000",4,569,160
"202406","5","7001 - 8000",7,12,4
"202402","1","5001 - 6000",1,331,32
"202408","1","2001 - 3000",3,5517,639
"202412","2","5001 - 6000",8,35,15
"202408","4","7001 - 8000",5,3588,1387
"202412","1","7001 - 8000",8,909,138
"202501","6","5001 - 6000",1,405,38
"202505","4","3001 - 4000",1,1002,72
"202408","2","6001 - 7000",4,15,3
"202410","2","4001 - 5000",4,76,20
"202407","1","5001 - 6000",7,532,64
"202411","3","7001 - 8000",7,1064,387
"202401","1","4001 - 5000",2,753,85
"202407","5","3001 - 4000",6,7,2
"202407","2","6001 - 7000",1,14,1
"202504","2","7001 - 8000",3,67,10
"202410","2","2001 - 3000",5,143,24
"202503","3","7001 - 8000",3,1188,344
"202412","2","6001 - 7000",4,12,4
"202501","1","4001 - 5000",6,1338,151
"202407","5","4001 - 5000",1,11,0
"202501","2","6001 - 7000",7,10,2
"202409","1","6001 - 7000",3,191,23
"202412","6","2001 - 3000",5,123,41
General,"5","7001 - 8000",6,163,55
"202403","4",   0 - 1000,7,4,0
"202401","3","7001 - 8000",8,658,210
General,"3","1001 - 2000",4,7245,1626
"202501","2","1001 - 2000",6,128,16
"202506","4","7001 - 8000",1,2841,303
"202411","4",   0 - 1000,2,6,0
"202501","2",   0 - 1000,5,12,1
"202501","3","4001 - 5000",6,823,253
"202410","6","6001 - 7000",2,388,92
"202409","5","5001 - 6000",1,3,1
"202404","1","7001 - 8000",1,570,53
General,"1","6001 - 7000",4,3366,405
"202502","4","7001 - 8000",2,2419,597
"202403","4","3001 - 4000",2,1343,263
"202501","1",   0 - 1000,1,2844,262
"202412","7","9001 - 10000",8,214,76
"202405","4","2001 - 3000",6,866,250
"202402","4","5001 - 6000",7,1097,438
"202503","8","9001 - 10000",3,323,70
"202407","3","3001 - 4000",1,835,113
"202407","3","7001 - 8000",5,680,247
"202412","5","6001 - 7000",3,4,0
"202405","7","9001 - 10000",8,183,52
"202404","4",   0 - 1000,7,6,1
"202408","3","4001 - 5000",4,861,258
General,"1","4001 - 5000",2,21093,2381
"202408","8","8001 - 9000",3,20,3
"202409","6","5001 - 6000",7,479,200
"202501","8","7001 - 8000",2,1,0
"202402","3","6001 - 7000",6,233,73
"202412","8","8001 - 9000",5,43,23
"202406","3",   0 - 1000,2,11,5
"202410","6","9001 - 10000",2,1,0
"202408","4",   0 - 1000,5,12,4
"202405","2","1001 - 2000",5,211,37
"202412","3","6001 - 7000",7,414,165
"202404","5","4001 - 5000",2,8,3
"202412","5","1001 - 2000",4,1,0
"202408","4","5001 - 6000",8,1252,451
"202505","3",   0 - 1000,3,17,5
"202410","5","4001 - 5000",7,4,2
"202502","3","3001 - 4000",2,768,167
"202407","6","4001 - 5000",2,573,109
"202403","1","2001 - 3000",1,4709,543
General,"1","1001 - 2000",3,126408,14648
"202411","8","7001 - 8000",4,1,0
"202412","2","2001 - 3000",1,99,20
"202408","6","5001 - 6000",2,685,146
"202411","4","5001 - 6000",4,1047,506
"202504","3","4001 - 5000",2,1011,231
"202408","3","7001 - 8000",7,786,240
"202406","5","6001 - 7000",3,3,1
"202404","6","4001 - 5000",4,553,126
"202410","5","1001 - 2000",8,2,1
"202401","8","9001 - 10000",1,497,34
"202408","2","2001 - 3000",6,160,34
"202404","3","2001 - 3000",4,1039,225
"202402","3","7001 - 8000",4,639,164
General,"3","4001 - 5000",5,13013,3871
"202501","1","6001 - 7000",5,262,33
"202411","3","4001 - 5000",8,1060,353
"202501","4",   0 - 1000,3,2,0
"202407","3","5001 - 6000",4,518,200
"202504","2","3001 - 4000",2,51,9
"202410","7","10000 +",2,308,44
"202403","2","1001 - 2000",2,240,39
"202408","4","3001 - 4000",1,1384,163
"202502","7","7001 - 8000",3,1,0
"202411","4","3001 - 4000",4,1042,435
"202407","3","1001 - 2000",4,468,116
"202408","1","1001 - 2000",5,8135,886
"202402","6","3001 - 4000",8,264,65
"202409","4",   0 - 1000,6,2,1
"202504","1","4001 - 5000",2,1103,109
"202405","4","2001 - 3000",4,866,246
"202410","2","3001 - 4000",8,95,18
"202503","2","5001 - 6000",5,28,6
"202407","4",   0 - 1000,2,12,3
"202411","6","4001 - 5000",2,522,114
"202404","4","2001 - 3000",7,971,288
"202409","4","6001 - 7000",5,749,334
"202501","3","1001 - 2000",4,418,83
"202402","5","3001 - 4000",7,7,3
"202501","6","4001 - 5000",7,368,130
General,"5","6001 - 7000",5,32,10
"202502","5","7001 - 8000",5,6,3
"202407","5","3001 - 4000",1,7,1
"202411","6","4001 - 5000",1,522,59
"202407","5","1001 - 2000",7,1,0
"202504","2","6001 - 7000",2,7,2
"202407","2","1001 - 2000",6,208,44
"202408","2","5001 - 6000",5,31,6
"202410","4","3001 - 4000",4,1083,467
"202404","8","10000 +",1,1124,59
"202408","3","7001 - 8000",2,786,220
"202410","2",   0 - 1000,1,6,0
"202407","5","4001 - 5000",2,11,0
"202502","2","4001 - 5000",1,36,1
"202504","3","5001 - 6000",2,575,155
"202403","5","6001 - 7000",8,1,0
"202402","1","3001 - 4000",4,1924,222
"202410","1","7001 - 8000",6,740,62
"202405","3","7001 - 8000",7,730,223
"202402","2",   0 - 1000,8,11,2
"202504","5","3001 - 4000",3,2,0
"202411","3","3001 - 4000",8,1004,338
"202503","1","6001 - 7000",5,252,18
"202504","1","5001 - 6000",1,458,45
"202404","4","5001 - 6000",8,1184,438
"202402","6","7001 - 8000",7,2924,1067
"202505","5","3001 - 4000",3,8,3
"202409","7","9001 - 10000",8,127,44
"202411","1","3001 - 4000",1,2875,371
"202410","1","2001 - 3000",7,5520,619
"202502","5","3001 - 4000",6,2,1
"202401","6","3001 - 4000",7,282,79
"202402","6","2001 - 3000",8,128,40
General,"5","7001 - 8000",2,204,50
"202401","5","5001 - 6000",5,1,0
"202403","6","7001 - 8000",5,3201,1158
"202501","8","9001 - 10000",6,280,91
"202411","1","5001 - 6000",4,742,109
General,"3","4001 - 5000",3,15090,4482
"202409","6","3001 - 4000",2,222,31
"202405","4",   0 - 1000,2,7,0
"202402","5","5001 - 6000",2,1,0
"202501","8","7001 - 8000",7,1,0
"202501","7","10000 +",6,325,97
"202408","2","4001 - 5000",6,83,18
"202411","1","5001 - 6000",1,742,109
"202402","1","1001 - 2000",5,6725,814
"202501","7","8001 - 9000",2,2,0
"202502","6","4001 - 5000",4,306,95
"202401","1","5001 - 6000",7,333,40
"202406","5","7001 - 8000",5,12,4
"202407","5","5001 - 6000",8,4,2
"202402","1","6001 - 7000",7,147,11
General,"5","2001 - 3000",7,41,18
"202412","3",   0 - 1000,7,11,4
"202501","6","1001 - 2000",5,31,5
"202410","1","4001 - 5000",6,1367,150
"202407","6","6001 - 7000",7,409,189
"202411","7","10000 +",5,386,134
"202406","4","6001 - 7000",8,708,279
"202405","4",   0 - 1000,6,7,0
"202406","6","3001 - 4000",7,298,87
"202409","6","2001 - 3000",5,106,33
"202504","4","5001 - 6000",3,945,316
"202410","4","4001 - 5000",6,1168,497
"202402","2","2001 - 3000",5,166,32
"202407","6","2001 - 3000",5,136,26
General,"5","5001 - 6000",3,43,14
"202502","6","1001 - 2000",4,26,4
"202404","5","6001 - 7000",1,1,0
"202407","6","1001 - 2000",4,50,12
"202405","6","5001 - 6000",1,589,45
"202404","5","3001 - 4000",2,7,1
"202408","2","7001 - 8000",6,130,14
"202412","2","1001 - 2000",7,183,40
"202402","2","3001 - 4000",4,110,20
"202412","4","7001 - 8000",7,4276,1831
General,"8","8001 - 9000",4,389,113
"202402","8","10000 +",2,803,109
"202403","5","6001 - 7000",1,1,0
"202408","1",   0 - 1000,4,3303,300
"202505","8","6001 - 7000",2,1,0
"202412","4","1001 - 2000",2,235,41
"202407","6","5001 - 6000",7,590,235
"202407","8","10000 +",3,1323,399
"202406","1","1001 - 2000",2,7515,780
"202412","5","2001 - 3000",4,4,2
"202503","6","6001 - 7000",2,327,74
"202407","2","7001 - 8000",6,93,21
"202409","1","6001 - 7000",1,191,23
"202406","6","1001 - 2000",5,50,15
"202404","5","1001 - 2000",8,2,0
"202401","5","5001 - 6000",7,1,0
"202404","5","5001 - 6000",2,1,0
"202501","2","6001 - 7000",6,10,2
"202501","5","6001 - 7000",7,2,0
General,"2","6001 - 7000",5,201,42
"202411","3","5001 - 6000",6,706,265
"202505","3","6001 - 7000",1,322,53
"202405","6","2001 - 3000",3,127,23
"202401","1","5001 - 6000",8,333,40
"202403","8","9001 - 10000",1,517,31
"202403","4","2001 - 3000",6,939,252
"202402","2",   0 - 1000,2,11,2
"202407","4","6001 - 7000",2,853,283
General,"5","7001 - 8000",8,147,51
"202404","5","2001 - 3000",4,4,2
"202407","3",   0 - 1000,5,14,4
"202403","5","2001 - 3000",3,3,1
"202506","7","9001 - 10000",2,127,8
"202406","3","7001 - 8000",8,746,221
"202406","5","1001 - 2000",8,1,0
"202401","1","6001 - 7000",1,125,14
"202409","6","3001 - 4000",8,222,73
"202504","4","4001 - 5000",2,1024,211
"202401","4","7001 - 8000",7,3269,1143
"202402","4","3001 - 4000",2,1127,256
"202401","3","5001 - 6000",5,458,150
"202402","1",   0 - 1000,8,2776,283
"202402","6","6001 - 7000",7,364,145
"202408","1","2001 - 3000",7,5517,639
"202407","6","1001 - 2000",7,50,17
"202411","3","2001 - 3000",7,1122,376
"202407","4",   0 - 1000,5,12,5
"202404","6","5001 - 6000",1,633,48
"202403","5","1001 - 2000",3,1,0
"202403","3","6001 - 7000",5,278,102
"202409","2","2001 - 3000",1,126,18
"202501","4",   0 - 1000,6,2,0
"202406","2","4001 - 5000",6,64,12
General,"8","7001 - 8000",5,3,0
"202410","5","3001 - 4000",8,3,2
"202404","7","8001 - 9000",6,2,0
"202506","2","5001 - 6000",1,17,3
"202404","3","4001 - 5000",7,738,194
"202411","8","5001 - 6000",8,1,0
"202401","4","6001 - 7000",4,633,264
"202410","1","7001 - 8000",4,740,62
"202408","4","7001 - 8000",8,3588,1387
"202502","6","7001 - 8000",2,1825,348
"202410","4","2001 - 3000",3,585,205
General,"1","6001 - 7000",8,2405,314
"202405","2","3001 - 4000",5,90,16
"202506","3","3001 - 4000",2,892,159
"202405","4",   0 - 1000,5,7,0
General,"7","10000 +",7,2857,954
"202501","6",   0 - 1000,1,1,0
"202411","2","4001 - 5000",2,41,10
"202506","1","6001 - 7000",2,194,37
"202505","3","2001 - 3000",3,1226,404
"202502","6","2001 - 3000",5,85,19
"202401","4","1001 - 2000",4,336,90
"202404","2","2001 - 3000",2,175,32
"202404","8","10000 +",5,1124,323
"202505","8","6001 - 7000",1,1,0
"202403","7","9001 - 10000",6,176,53
"202411","8","10000 +",2,2139,343
"202412","5","7001 - 8000",3,11,3
"202501","5","5001 - 6000",1,3,0
"202404","2","2001 - 3000",3,175,32
"202505","4","5001 - 6000",1,928,108
"202410","6","7001 - 8000",2,2749,628
"202507","2","1001 - 2000",1,272,12
"202503","3","3001 - 4000",1,1170,154
"202404","1",   0 - 1000,4,3031,278
"202410","7","10000 +",6,308,139
"202505","3","3001 - 4000",1,997,112
"202406","5","5001 - 6000",2,6,0
"202404","7","9001 - 10000",4,167,36
"202411","1","5001 - 6000",5,742,109
"202408","2",   0 - 1000,1,12,0
"202407","2","7001 - 8000",4,93,21
"202412","7","10000 +",1,455,30
"202403","1","3001 - 4000",5,2121,212
"202504","3",   0 - 1000,3,19,5
"202412","6","10000 +",7,2,0
"202401","5","2001 - 3000",8,1,1
"202503","2","3001 - 4000",2,66,17
"202408","4","2001 - 3000",2,946,184
"202404","8","10000 +",4,1124,280
"202411","3","4001 - 5000",3,1060,353
"202401","5","2001 - 3000",1,1,0
"202408","2","6001 - 7000",1,15,1
"202412","1",   0 - 1000,6,2910,420
"202504","2","4001 - 5000",3,34,6
"202412","4","5001 - 6000",5,1234,545
"202405","1","4001 - 5000",2,1109,120
"202506","5","3001 - 4000",2,2,0
"202503","4","5001 - 6000",4,932,359
"202405","5","5001 - 6000",8,2,1
"202505","7","8001 - 9000",1,3,0
"202411","1","6001 - 7000",6,266,43
"202406","3","3001 - 4000",4,793,213
"202501","2","5001 - 6000",5,21,4
"202407","6","4001 - 5000",3,573,155
"202408","8","9001 - 10000",1,490,33
"202411","6","7001 - 8000",2,2801,674
"202409","7","9001 - 10000",6,127,43
"202402","1","7001 - 8000",1,492,36
"202501","5","7001 - 8000",7,10,1
"202407","4","4001 - 5000",7,1440,572
General,"2","4001 - 5000",8,768,147
"202407","1","1001 - 2000",1,8255,1022
"202407","5","5001 - 6000",4,4,2
"202502","5","3001 - 4000",2,2,1
"202411","8","5001 - 6000",2,1,0
"202405","5","2001 - 3000",8,1,0
"202412","5","1001 - 2000",1,1,0
"202404","6","3001 - 4000",4,285,63
"202409","4","4001 - 5000",1,1206,157
"202402","6","5001 - 6000",5,512,166
"202407","6","5001 - 6000",8,590,235
"202409","4",   0 - 1000,7,2,1
"202408","6","1001 - 2000",3,38,6
"202402","5","6001 - 7000",7,3,1
"202404","4","5001 - 6000",1,1184,156
"202506","1",   0 - 1000,1,3136,439
"202402","6","7001 - 8000",3,2924,793
"202503","7","9001 - 10000",4,118,22
"202410","6","1001 - 2000",7,31,12
"202410","3","7001 - 8000",1,937,133
"202408","2","6001 - 7000",5,15,3
"202402","3","3001 - 4000",6,672,182
"202412","8","10000 +",3,2645,636
"202405","2",   0 - 1000,5,24,7
"202502","3","1001 - 2000",4,443,108
"202411","3","2001 - 3000",3,1122,373
"202405","5","5001 - 6000",2,2,1
"202404","6","7001 - 8000",3,2909,807
"202502","3","4001 - 5000",1,860,112
"202410","4","6001 - 7000",2,723,222
"202503","1","1001 - 2000",2,7764,806
"202402","1","7001 - 8000",5,492,36
"202404","5","6001 - 7000",7,1,0
"202412","7","9001 - 10000",5,214,53
"202407","1","3001 - 4000",8,2507,324
"202408","5","3001 - 4000",8,4,0
"202401","3",   0 - 1000,1,21,3
"202404","6","1001 - 2000",7,52,9
"202401","2",   0 - 1000,6,15,4
"202404","4","2001 - 3000",1,971,88
"202407","1","3001 - 4000",6,2507,324
"202407","1","7001 - 8000",3,665,86
"202406","2","6001 - 7000",3,19,4
"202410","1","1001 - 2000",6,7414,758
"202503","4","5001 - 6000",3,932,320
"202404","6","3001 - 4000",3,285,49
"202407","5","6001 - 7000",4,1,1
"202409","3","4001 - 5000",3,768,231
"202501","4","4001 - 5000",1,827,103
"202401","4","1001 - 2000",8,336,91
"202408","5","3001 - 4000",5,4,0
"202408","3","4001 - 5000",2,861,225
"202412","8","10000 +",1,2645,237
"202408","2","1001 - 2000",6,205,32
"202504","6","2001 - 3000",4,95,17
"202402","4","3001 - 4000",5,1127,351
"202407","2","6001 - 7000",5,14,2
"202505","4","4001 - 5000",2,1004,235
"202407","1",   0 - 1000,7,3073,346
"202502","5","6001 - 7000",2,2,0
General,"2","5001 - 6000",7,463,94
General,"7","10000 +",6,3196,1018
General,"7","9001 - 10000",2,2769,352
General,"3","7001 - 8000",5,12952,4006
"202408","7","8001 - 9000",1,2,1
"202402","4","7001 - 8000",6,3393,1199
"202412","5","5001 - 6000",1,1,1
General,"4",   0 - 1000,1,101,7
"202502","1","4001 - 5000",6,1304,136
"202411","5","4001 - 5000",1,5,1
"202410","5","5001 - 6000",3,1,0
"202409","3",   0 - 1000,5,10,4
"202501","3","6001 - 7000",2,237,68
"202405","3","2001 - 3000",8,945,232
"202504","2","3001 - 4000",4,51,9
General,"1","2001 - 3000",4,80437,9881
"202410","2","7001 - 8000",1,96,9
"202407","4","1001 - 2000",8,332,93
"202408","1","1001 - 2000",3,8135,886
"202503","4","4001 - 5000",2,965,189
"202404","3","2001 - 3000",3,1039,217
"202505","3","4001 - 5000",3,1066,334
"202402","2","1001 - 2000",3,191,32
General,"1","3001 - 4000",4,38411,4604
"202404","4","7001 - 8000",1,3681,491
"202410","5","2001 - 3000",4,3,2
"202407","6","5001 - 6000",1,590,68
"202506","2","3001 - 4000",1,58,9
"202407","6","1001 - 2000",2,50,10
"202502","6","6001 - 7000",3,229,72
"202410","2","4001 - 5000",3,76,20
"202406","1","1001 - 2000",1,7515,743
"202406","1","6001 - 7000",2,181,23
"202408","8","10000 +",4,1525,392
"202409","2","2001 - 3000",3,126,27
"202406","6","1001 - 2000",2,50,10
"202405","5","6001 - 7000",2,1,0
"202411","1","1001 - 2000",5,7684,1069
"202501","8","8001 - 9000",3,22,7
"202410","5","6001 - 7000",4,2,1
"202411","7","8001 - 9000",6,3,2
"202409","3","6001 - 7000",3,260,84
"202403","5","2001 - 3000",7,3,1
General,"5","3001 - 4000",6,56,16
"202412","2",   0 - 1000,2,5,2
"202408","4","4001 - 5000",5,1428,511
"202411","8","9001 - 10000",6,396,148
"202402","6","4001 - 5000",3,520,94
"202408","5","4001 - 5000",4,6,2
"202403","8","10000 +",8,1107,370
"202412","4","1001 - 2000",5,235,68
"202411","6","2001 - 3000",2,83,13
"202402","7","9001 - 10000",5,175,51
"202401","2","5001 - 6000",8,22,1
"202408","1","4001 - 5000",1,1216,129
"202408","8","10000 +",2,1525,175
"202408","3","2001 - 3000",3,1021,246
"202406","1","5001 - 6000",5,430,48
"202412","1","2001 - 3000",8,5798,985
"202404","4","7001 - 8000",2,3681,949
"202401","2","7001 - 8000",4,79,11
"202401","2","6001 - 7000",6,15,4
"202408","3","7001 - 8000",5,786,240
General,"8","6001 - 7000",1,1,0
"202411","3","7001 - 8000",6,1064,387
"202402","4","1001 - 2000",8,332,91
General,"4","1001 - 2000",3,4521,1071
"202408","2","7001 - 8000",3,130,14
"202411","2","4001 - 5000",3,41,11
"202402","4","3001 - 4000",3,1127,326
"202401","6","1001 - 2000",2,65,8
"202404","7","8001 - 9000",4,2,0
"202402","1","4001 - 5000",3,935,105
"202411","4","6001 - 7000",4,625,327
"202406","3","7001 - 8000",2,746,186
"202410","4","2001 - 3000",6,585,242
"202406","3",   0 - 1000,6,11,5
"202401","2","7001 - 8000",2,79,11
"202408","6","3001 - 4000",7,279,88
"202412","5","3001 - 4000",2,2,0
"202409","4","1001 - 2000",5,236,74
"202402","1","6001 - 7000",8,147,11
"202409","7","9001 - 10000",1,127,1
"202411","7","9001 - 10000",5,167,51
"202412","2","6001 - 7000",7,12,4
"202502","8","8001 - 9000",5,23,9
"202502","1","2001 - 3000",6,4828,566
"202505","6","6001 - 7000",3,296,68
"202407","4","4001 - 5000",2,1440,408
"202402","5","7001 - 8000",3,11,2
"202404","6","5001 - 6000",4,633,208
"202409","4","1001 - 2000",6,236,74
"202412","3","6001 - 7000",8,414,165
"202412","3","2001 - 3000",8,1291,373
"202506","6","5001 - 6000",2,432,55
"202504","3","3001 - 4000",2,1011,235
General,"1","3001 - 4000",8,28816,3501
"202405","1",   0 - 1000,6,3195,353
"202412","1","4001 - 5000",6,1493,230
"202506","1","2001 - 3000",1,4651,774
"202407","4",   0 - 1000,4,12,5
"202501","5","3001 - 4000",6,4,1
"202411","6","3001 - 4000",4,199,61
"202501","3","3001 - 4000",2,754,154
General,"2","3001 - 4000",1,1684,179
"202403","4","3001 - 4000",7,1343,402
"202409","1",   0 - 1000,2,2629,237
"202407","3","4001 - 5000",1,823,124
"202403","3","3001 - 4000",4,838,235
"202409","4","7001 - 8000",1,3425,433
"202401","6","3001 - 4000",4,282,71
"202408","6","5001 - 6000",8,685,266
"202411","3","6001 - 7000",4,362,156
"202501","3","6001 - 7000",1,237,41
"202407","3","4001 - 5000",4,823,246
"202402","3","6001 - 7000",7,233,73
"202410","8","8001 - 9000",6,12,4
"202409","3","6001 - 7000",5,260,84
"202408","3","7001 - 8000",8,786,240
"202505","7","8001 - 9000",3,3,0
"202402","6","6001 - 7000",6,364,145
"202501","3","4001 - 5000",5,823,253
"202405","6","1001 - 2000",6,43,13
"202410","1","2001 - 3000",5,5520,619
"202412","4","1001 - 2000",8,235,68
"202410","1",   0 - 1000,1,2668,239
"202410","6","1001 - 2000",5,31,12
"202507","2","5001 - 6000",1,38,1
"202501","2","4001 - 5000",3,40,8
General,"6","6001 - 7000",7,4812,1939
"202402","6","2001 - 3000",3,128,28
"202412","2","4001 - 5000",3,52,14
"202412","3","1001 - 2000",2,433,114
"202502","3","2001 - 3000",1,1041,105
"202403","5","5001 - 6000",6,3,3
"202405","6","6001 - 7000",3,347,101
"202501","1","5001 - 6000",2,668,93
"202502","1","2001 - 3000",2,4828,566
"202409","3","5001 - 6000",8,518,182
"202412","2","7001 - 8000",2,85,16
General,"5","4001 - 5000",3,102,26
"202502","5","6001 - 7000",1,2,0
"202403","1","7001 - 8000",4,563,48
"202412","8","7001 - 8000",8,1,0
"202402","3","2001 - 3000",5,860,212
"202412","5","5001 - 6000",5,1,1
"202407","5","4001 - 5000",6,11,1
"202405","2","4001 - 5000",4,68,9
"202501","4","1001 - 2000",6,193,45
"202505","6","3001 - 4000",3,232,38
"202402","1","5001 - 6000",7,331,33
General,"6","3001 - 4000",8,3209,990
"202408","6","1001 - 2000",1,38,2
"202411","8","7001 - 8000",5,1,0
"202405","5","3001 - 4000",4,3,0
"202408","1","6001 - 7000",2,191,29
"202403","5","4001 - 5000",8,7,2
"202407","4","6001 - 7000",8,853,392
"202411","8","10000 +",3,2139,481
"202401","4","4001 - 5000",6,1192,417
"202410","1",   0 - 1000,6,2668,247
"202506","1","4001 - 5000",1,1124,173
"202411","8","10000 +",4,2139,607
"202503","3","2001 - 3000",3,1283,289
"202404","5","7001 - 8000",8,13,5
"202407","7","9001 - 10000",2,183,41
"202412","3","2001 - 3000",3,1291,373
"202411","2","3001 - 4000",4,81,21
"202411","1","6001 - 7000",5,266,43
"202504","1","6001 - 7000",4,180,13
"202402","5","3001 - 4000",3,7,2
"202404","6","1001 - 2000",3,52,3
"202408","3","6001 - 7000",5,277,100
"202401","6","5001 - 6000",2,535,119
"202412","2","3001 - 4000",7,72,17
"202404","1","4001 - 5000",6,1018,106
"202504","6","3001 - 4000",1,242,22
"202408","5","3001 - 4000",3,4,0
"202505","1","4001 - 5000",1,1229,115
"202504","6","7001 - 8000",3,2104,559
"202406","4",   0 - 1000,5,13,3
General,"8","9001 - 10000",6,5689,1976
"202411","1","2001 - 3000",3,6000,858
General,"1","1001 - 2000",7,96856,11611
"202404","1","5001 - 6000",1,364,34
"202403","4","7001 - 8000",6,4264,1521
"202401","1","4001 - 5000",3,753,85
"202409","1","7001 - 8000",5,636,63
"202406","4","4001 - 5000",7,1368,502
"202505","1","5001 - 6000",2,535,47
"202407","7","7001 - 8000",6,1,1
"202505","2","7001 - 8000",3,57,14
"202403","1","4001 - 5000",2,979,92
"202411","4","3001 - 4000",5,1042,435
"202405","1","6001 - 7000",8,206,27
"202501","2","2001 - 3000",2,86,16
General,"1","7001 - 8000",3,11929,1187
"202406","5","2001 - 3000",5,6,2
"202412","2","2001 - 3000",8,99,26
"202410","4","3001 - 4000",6,1083,467
"202405","6","3001 - 4000",8,271,72
"202406","6","2001 - 3000",7,124,36
"202410","8","9001 - 10000",6,320,143
"202401","3","1001 - 2000",6,461,96
"202402","1","4001 - 5000",8,935,105
